,pono,gitemno,proccode,procseq,comb_classification,duedate,fabric_width,original_production_length,chemical_list,product_ID,process_ID,procgbn,gitemname,procname,production_length
49,SW1250906904,32019,20906,4,4,2025-11-03,1300,0,None,32019_1300_4_M11,32019_1300_4_M11_20906_None,인쇄,RAINBOW(KOR)-DM-VS200 30(RHN40%),인쇄,0
50,SW1250911401,32041,20500,1,4,2025-10-17,1300,0,T0915,32041_1300_4_M10,32041_1300_4_M10_20500_T0915,투명,PPF-NS-XTM PLUS(Kaizer),투명점착,0
51,SW1250911401,32041,12400,2,4,2025-10-17,1300,0,T01576,32041_1300_4_M10,32041_1300_4_M10_12400_T01576,SR,PPF-NS-XTM PLUS(Kaizer),TOP COATING,0
52,SW1250904703,32265,20902,1,4,2025-11-03,1300,3565,W2082|T02498,32265_1300_4_M11,32265_1300_4_M11_20902_W2082|T02498,안료,RAINBOW(KOR)-ND-IS200 1590,안료접착,3880
53,SW1250904703,32265,20702,2,4,2025-11-03,1300,3565,T02150|W1818,32265_1300_4_M11,32265_1300_4_M11_20702_T02150|W1818,SR,RAINBOW(KOR)-ND-IS200 1590,ISR(하드코팅),3800
54,SW1250904703,32265,20500,3,4,2025-11-03,1300,3565,WRF065,32265_1300_4_M11,32265_1300_4_M11_20500_WRF065,투명,RAINBOW(KOR)-ND-IS200 1590,투명점착,3710
55,SW1250904703,32265,20906,4,4,2025-11-03,1300,3565,None,32265_1300_4_M11,32265_1300_4_M11_20906_None,인쇄,RAINBOW(KOR)-ND-IS200 1590,인쇄,3640
56,SW1250904705,32267,20902,1,4,2025-11-03,1300,0,t02604|W2051,32267_1300_4_M11,32267_1300_4_M11_20902_t02604|W2051,안료,RAINBOW(KOR)-ND-IS200 3390,안료접착,0
57,SW1250904705,32267,20702,2,4,2025-11-03,1300,0,T02150|W1818,32267_1300_4_M11,32267_1300_4_M11_20702_T02150|W1818,SR,RAINBOW(KOR)-ND-IS200 3390,ISR(하드코팅),0
58,SW1250904705,32267,20500,3,4,2025-11-03,1300,0,WRF065,32267_1300_4_M11,32267_1300_4_M11_20500_WRF065,투명,RAINBOW(KOR)-ND-IS200 3390,투명점착,0
