,pono,gitemno,proccode,procseq,comb_classification,duedate,fabric_width,production_length,chemical_list,product_ID,process_ID,procgbn
58,SW1250906904,32019,20902,1,4,2025-11-03,1300,0,T02508|T02321,32019_1300_4_M11,32019_1300_4_M11_20902_T02508|T02321,안료
59,SW1250906904,32019,20706,2,4,2025-11-03,1300,0,T02149|W1817,32019_1300_4_M11,32019_1300_4_M11_20706_T02149|W1817,SR
60,SW1250906904,32019,20500,3,4,2025-11-03,1300,0,WRF065,32019_1300_4_M11,32019_1300_4_M11_20500_WRF065,투명
61,SW1250906904,32019,20906,4,4,2025-11-03,1300,0,None,32019_1300_4_M11,32019_1300_4_M11_20906_None,인쇄
62,SW1250904703,32265,20902,1,4,2025-11-03,1300,3565,W2082|T02498,32265_1300_4_M11,32265_1300_4_M11_20902_W2082|T02498,안료
63,SW1250904703,32265,20702,2,4,2025-11-03,1300,3565,T02150|W1818,32265_1300_4_M11,32265_1300_4_M11_20702_T02150|W1818,SR
64,SW1250904703,32265,20500,3,4,2025-11-03,1300,3565,WRF065,32265_1300_4_M11,32265_1300_4_M11_20500_WRF065,투명
65,SW1250904703,32265,20906,4,4,2025-11-03,1300,3565,None,32265_1300_4_M11,32265_1300_4_M11_20906_None,인쇄
66,SW1250904705,32267,20902,1,4,2025-11-03,1300,0,t02604|W2051,32267_1300_4_M11,32267_1300_4_M11_20902_t02604|W2051,안료
67,SW1250904705,32267,20702,2,4,2025-11-03,1300,0,T02150|W1818,32267_1300_4_M11,32267_1300_4_M11_20702_T02150|W1818,SR
68,SW1250904705,32267,20500,3,4,2025-11-03,1300,0,WRF065,32267_1300_4_M11,32267_1300_4_M11_20500_WRF065,투명
69,SW1250904705,32267,20906,4,4,2025-11-03,1300,0,None,32267_1300_4_M11,32267_1300_4_M11_20906_None,인쇄
70,SW1250904707,32363,20902,1,4,2025-11-03,1300,1767,T02619|T02326,32363_1300_4_M11,32363_1300_4_M11_20902_T02619|T02326,안료
71,SW1250904707,32363,20706,2,4,2025-11-03,1300,1767,W1817,32363_1300_4_M11,32363_1300_4_M11_20706_W1817,SR
72,SW1250904707,32363,20500,3,4,2025-11-03,1300,1767,WRF065,32363_1300_4_M11,32363_1300_4_M11_20500_WRF065,투명
73,SW1250904707,32363,20906,4,4,2025-11-03,1300,1767,None,32363_1300_4_M11,32363_1300_4_M11_20906_None,인쇄
74,SW1251003601,32470,23311,1,4,2025-11-04,1300,225,T0915,32470_1300_4_M11,32470_1300_4_M11_23311_T0915,투명
75,SW1251003601,32470,12400,2,4,2025-11-04,1300,225,T01521,32470_1300_4_M11,32470_1300_4_M11_12400_T01521,SR
